Date,Open,High,Low,Close
3/27/2020,2555.87,2615.91,2520.02,2541.47
3/26/2020,2501.29,2637.01,2500.72,2630.07
3/25/2020,2457.77,2571.42,2407.53,2475.56
3/24/2020,2344.44,2449.71,2344.44,2447.33
3/23/2020,2290.71,2300.73,2191.86,2237.4
3/20/2020,2431.94,2453.01,2295.56,2304.92
3/19/2020,2393.48,2466.97,2319.78,2409.39
3/18/2020,2436.5,2453.57,2280.52,2398.1
3/17/2020,2425.66,2553.93,2367.04,2529.19
3/16/2020,2508.59,2562.98,2380.94,2386.13
3/13/2020,2569.99,2711.33,2492.37,2711.02
3/12/2020,2630.86,2660.95,2478.86,2480.64
3/11/2020,2825.6,2825.6,2707.22,2741.38
3/10/2020,2813.48,2882.59,2734,2882.23
3/9/2020,2863.89,2863.89,2734.43,2746.56
3/6/2020,2954.2,2985.93,2901.54,2972.37
3/5/2020,3075.7,3083.04,2999.83,3023.94
3/4/2020,3045.75,3130.97,3034.38,3130.12
3/3/2020,3096.46,3136.72,2976.63,3003.37
3/2/2020,2974.28,3090.96,2945.19,3090.23
2/28/2020,2916.9,2959.72,2855.84,2954.22
2/27/2020,3062.54,3097.07,2977.39,2978.76
2/26/2020,3139.9,3182.51,3108.99,3116.39
2/25/2020,3238.94,3246.99,3118.77,3128.21
2/24/2020,3257.61,3259.81,3214.65,3225.89
2/21/2020,3360.5,3360.76,3328.45,3337.75
2/20/2020,3380.45,3389.15,3341.02,3373.23
2/19/2020,3380.39,3393.52,3378.83,3386.15
2/18/2020,3369.04,3375.01,3355.61,3370.29
2/14/2020,3378.08,3380.69,3366.15,3380.16
2/13/2020,3365.9,3385.09,3360.52,3373.94
2/12/2020,3370.5,3381.47,3369.72,3379.45
2/11/2020,3365.87,3375.63,3352.72,3357.75
2/10/2020,3318.28,3352.26,3317.77,3352.09
2/7/2020,3335.54,3341.42,3322.12,3327.71
2/6/2020,3344.92,3347.96,3334.39,3345.78
2/5/2020,3324.91,3337.58,3313.75,3334.69
2/4/2020,3280.61,3306.92,3280.61,3297.59
2/3/2020,3235.66,3268.44,3235.66,3248.92
1/31/2020,3282.33,3282.33,3214.68,3225.52
1/30/2020,3256.45,3285.91,3242.8,3283.66
1/29/2020,3289.46,3293.47,3271.89,3273.4
1/28/2020,3255.35,3285.78,3253.22,3276.24
1/27/2020,3247.16,3258.85,3234.5,3243.63
1/24/2020,3333.1,3333.18,3281.53,3295.47
1/23/2020,3315.77,3326.88,3301.87,3325.54
1/22/2020,3330.02,3337.77,3320.04,3321.75
1/21/2020,3321.03,3329.79,3316.61,3320.79
1/17/2020,3323.66,3329.88,3318.86,3329.62
1/16/2020,3302.97,3317.11,3302.82,3316.81
1/15/2020,3282.27,3298.66,3280.69,3289.29
1/14/2020,3285.35,3294.25,3277.19,3283.15
1/13/2020,3271.13,3288.13,3268.43,3288.13
1/10/2020,3281.81,3282.99,3260.86,3265.35
1/9/2020,3266.03,3275.58,3263.67,3274.7
1/8/2020,3238.59,3267.07,3236.67,3253.05
1/7/2020,3241.86,3244.91,3232.43,3237.18
1/6/2020,3217.55,3246.84,3214.64,3246.28
1/3/2020,3226.36,3246.15,3222.34,3234.85
1/2/2020,3244.67,3258.14,3235.53,3257.85
12/31/2019,3215.18,3231.72,3212.03,3230.78
12/30/2019,3240.09,3240.92,3216.57,3221.29
12/27/2019,3247.23,3247.93,3234.37,3240.02
12/26/2019,3227.2,3240.08,3227.2,3239.91
12/24/2019,3225.45,3226.43,3220.51,3223.38
12/23/2019,3226.05,3227.78,3222.3,3224.01
12/20/2019,3223.33,3225.65,3216.03,3221.22
12/19/2019,3192.32,3205.48,3192.32,3205.37
12/18/2019,3195.21,3198.48,3191.14,3191.14
12/17/2019,3195.4,3198.22,3191.03,3192.52
12/16/2019,3183.63,3197.71,3183.63,3191.45
12/13/2019,3166.65,3182.68,3156.51,3168.8
12/12/2019,3141.23,3176.28,3138.47,3168.57
12/11/2019,3135.75,3143.98,3133.21,3141.63
12/10/2019,3135.36,3142.12,3126.09,3132.52
12/9/2019,3141.86,3148.87,3135.46,3135.96
12/6/2019,3134.62,3150.6,3134.62,3145.91
12/5/2019,3119.21,3119.45,3103.76,3117.43
12/4/2019,3103.5,3119.38,3102.53,3112.76
12/3/2019,3087.41,3094.97,3070.33,3093.2
12/2/2019,3143.85,3144.31,3110.78,3113.87
11/29/2019,3147.18,3150.3,3139.34,3140.98
11/27/2019,3145.49,3154.26,3143.41,3153.63
11/26/2019,3134.85,3142.69,3131,3140.52
11/25/2019,3117.44,3133.83,3117.44,3133.64
11/22/2019,3111.41,3112.87,3099.26,3110.29
11/21/2019,3108.49,3110.11,3094.55,3103.54
11/20/2019,3114.66,3118.97,3091.41,3108.46
11/19/2019,3127.45,3127.64,3113.47,3120.18
11/18/2019,3117.91,3124.17,3112.06,3122.03
11/15/2019,3107.92,3120.46,3104.6,3120.46
11/14/2019,3090.75,3098.2,3083.26,3096.63
11/13/2019,3084.18,3098.06,3078.8,3094.04
11/12/2019,3089.28,3102.61,3084.73,3091.84
11/11/2019,3080.33,3088.33,3075.82,3087.01
11/8/2019,3081.25,3093.09,3073.58,3093.08
11/7/2019,3087.02,3097.77,3080.23,3085.18
11/6/2019,3075.1,3078.34,3065.89,3076.78
11/5/2019,3080.8,3083.95,3072.15,3074.62
11/4/2019,3078.96,3085.2,3074.87,3078.27
11/1/2019,3050.72,3066.95,3050.72,3066.91
10/31/2019,3046.9,3046.9,3023.19,3037.56
10/30/2019,3039.74,3050.1,3025.96,3046.77
10/29/2019,3035.39,3047.87,3034.81,3036.89
10/28/2019,3032.12,3044.08,3032.12,3039.42
10/25/2019,3003.32,3027.39,3001.94,3022.55
10/24/2019,3014.78,3016.07,3000.42,3010.29
10/23/2019,2994.01,3004.78,2991.21,3004.52
10/22/2019,3010.73,3014.57,2995.04,2995.99
10/21/2019,2996.48,3007.33,2995.35,3006.72
10/18/2019,2996.84,3000,2976.31,2986.2
10/17/2019,3000.77,3008.29,2991.79,2997.95
10/16/2019,2989.68,2997.54,2985.2,2989.69
10/15/2019,2973.61,3003.28,2973.61,2995.68
10/14/2019,2965.81,2972.84,2962.94,2966.15
10/11/2019,2963.07,2993.28,2963.07,2970.27
10/10/2019,2918.55,2948.46,2917.12,2938.13
10/9/2019,2911.1,2929.32,2907.41,2919.4
10/8/2019,2920.4,2925.47,2892.66,2893.06
10/7/2019,2944.23,2959.75,2935.68,2938.79
10/4/2019,2918.56,2953.74,2918.56,2952.01
10/3/2019,2885.38,2911.13,2855.94,2910.63
10/2/2019,2924.78,2924.78,2874.93,2887.61
10/1/2019,2983.69,2992.53,2938.7,2940.25
9/30/2019,2967.07,2983.85,2967.07,2976.74
9/27/2019,2985.47,2987.31,2945.53,2961.79
9/26/2019,2985.73,2987.28,2963.71,2977.62
9/25/2019,2968.35,2989.82,2952.86,2984.87
9/24/2019,3002.43,3007.98,2957.73,2966.6
9/23/2019,2983.5,2999.15,2982.23,2991.78
9/20/2019,3008.42,3016.37,2984.68,2992.07
9/19/2019,3010.36,3021.99,3003.16,3006.79
9/18/2019,3001.5,3007.83,2978.57,3006.73
9/17/2019,2995.67,3006.21,2993.73,3005.7
9/16/2019,2996.41,3002.19,2990.67,2997.96
9/13/2019,3012.21,3017.33,3002.9,3007.39
9/12/2019,3009.08,3020.74,3000.92,3009.57
9/11/2019,2981.41,3000.93,2975.31,3000.93
9/10/2019,2971.01,2979.39,2957.01,2979.39
9/9/2019,2988.43,2989.43,2969.39,2978.43
9/6/2019,2980.33,2985.03,2972.51,2978.71
9/5/2019,2960.6,2985.86,2960.6,2976
9/4/2019,2924.67,2938.84,2921.86,2937.78
9/3/2019,2909.01,2914.39,2891.85,2906.27
8/30/2019,2937.09,2940.43,2913.32,2926.46
8/29/2019,2910.37,2930.5,2905.67,2924.58
8/28/2019,2861.28,2890.03,2853.05,2887.94
8/27/2019,2893.14,2898.79,2860.59,2869.16
8/26/2019,2866.7,2879.27,2856,2878.38
8/23/2019,2911.07,2927.01,2834.97,2847.11
8/22/2019,2930.94,2939.08,2904.51,2922.95
8/21/2019,2922.04,2928.73,2917.91,2924.43
8/20/2019,2919.01,2923.63,2899.6,2900.51
8/19/2019,2913.48,2931,2913.48,2923.65
8/16/2019,2864.74,2893.63,2864.74,2888.68
8/15/2019,2846.2,2856.67,2825.51,2847.6
8/14/2019,2894.15,2894.15,2839.64,2840.6
8/13/2019,2880.72,2943.31,2877.05,2926.32
8/12/2019,2907.07,2907.58,2873.14,2883.75
8/9/2019,2930.51,2935.75,2900.15,2918.65
8/8/2019,2896.21,2938.72,2894.47,2938.09
8/7/2019,2858.65,2892.17,2825.71,2883.98
8/6/2019,2861.18,2884.4,2847.42,2881.77
8/5/2019,2898.07,2898.07,2822.12,2844.74
8/2/2019,2943.9,2945.5,2914.11,2932.05
8/1/2019,2980.32,3013.59,2945.23,2953.56
7/31/2019,3016.22,3017.4,2958.08,2980.38
7/30/2019,3007.66,3017.19,3000.94,3013.18
7/29/2019,3024.47,3025.61,3014.3,3020.97
7/26/2019,3013.25,3027.98,3012.59,3025.86
7/25/2019,3016.26,3016.31,2997.24,3003.67
7/24/2019,2998.77,3019.59,2996.82,3019.56
7/23/2019,2994.74,3005.9,2988.56,3005.47
7/22/2019,2981.93,2990.71,2976.65,2985.03
7/19/2019,3004.26,3006.02,2975.86,2976.61
7/18/2019,2978.87,2998.28,2973.09,2995.11
7/17/2019,3005.1,3005.26,2984.25,2984.42
7/16/2019,3012.13,3015.02,3001.15,3004.04
7/15/2019,3017.8,3017.8,3008.77,3014.3
7/12/2019,3003.36,3013.92,3001.87,3013.77
7/11/2019,2999.62,3002.33,2988.8,2999.91
7/10/2019,2989.3,3002.98,2984.62,2993.07
7/9/2019,2965.52,2981.9,2963.44,2979.63
7/8/2019,2979.77,2980.76,2970.09,2975.95
7/5/2019,2984.25,2994.03,2967.97,2990.41
7/3/2019,2978.08,2995.84,2977.96,2995.82
7/2/2019,2964.66,2973.21,2955.92,2973.01
7/1/2019,2971.41,2977.93,2952.22,2964.33
6/28/2019,2932.94,2943.98,2929.05,2941.76
6/27/2019,2919.66,2929.3,2918.57,2924.92
6/26/2019,2926.07,2932.59,2912.99,2913.78
6/25/2019,2945.78,2946.52,2916.01,2917.38
6/24/2019,2951.42,2954.92,2944.05,2945.35
6/21/2019,2952.71,2964.15,2946.87,2950.46
6/20/2019,2949.6,2958.06,2931.5,2954.18
6/19/2019,2920.55,2931.74,2911.43,2926.46
6/18/2019,2906.71,2930.79,2905.44,2917.75
6/17/2019,2889.75,2897.27,2887.3,2889.67
6/14/2019,2886.82,2894.45,2879.62,2886.98
6/13/2019,2886.24,2895.24,2881.99,2891.64
6/12/2019,2882.73,2888.57,2874.68,2879.84
6/11/2019,2903.27,2910.61,2878.53,2885.72
