,Open_time,Open,High,Low,Close,Volume,Close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,Type
25,2019-09-01,9588.74000000,10905.87000000,7710.00000000,8289.34000000,1116856.47583600,2019-09-30 23:59:59.999,10708237140.60371852,10290100,560469.13385000,5377015249.31717036,0,BTCUSDT
26,2019-10-01,8289.97000000,10370.00000000,7300.00000000,9140.85000000,1446755.85471600,2019-10-31 23:59:59.999,12389851316.22327994,14098344,733946.49864800,6285955889.88899910,0,BTCUSDT
27,2019-11-01,9140.86000000,9513.68000000,6515.00000000,7541.89000000,1499118.77499500,2019-11-30 23:59:59.999,12102536663.59667357,12471724,750869.62322700,6067338401.45677464,0,BTCUSDT
28,2019-12-01,7540.63000000,7750.00000000,6435.00000000,7195.23000000,1307026.46794000,2019-12-31 23:59:59.999,9459519119.97038281,10826625,663279.32187400,4802533191.88427109,0,BTCUSDT
29,2020-01-01,7195.24000000,9578.00000000,6871.04000000,9352.89000000,1691323.13778200,2020-01-31 23:59:59.999,14188275899.57744673,14894658,856196.33380200,7181731095.29617454,0,BTCUSDT
30,2020-02-01,9351.71000000,10500.00000000,8445.00000000,8523.61000000,1609726.15456400,2020-02-29 23:59:59.999,15497862132.12530647,17837429,798553.01252800,7693054951.95076792,0,BTCUSDT
31,2020-03-01,8523.61000000,9188.00000000,3782.13000000,6410.44000000,3789768.91312500,2020-03-31 23:59:59.999,24019544659.32284332,28381746,1845421.42021700,11718738378.67753616,0,BTCUSDT
32,2020-04-01,6412.14000000,9460.00000000,6150.11000000,8620.00000000,2528373.69112100,2020-04-30 23:59:59.999,18428838833.75182015,22386100,1225177.00810800,8934788999.32252117,0,BTCUSDT
33,2020-05-01,8620.00000000,10067.00000000,8117.00000000,9448.27000000,2685340.07850800,2020-05-31 23:59:59.999,24747877574.69989861,26310658,1290540.41974100,11899518361.29341186,0,BTCUSDT
34,2020-06-01,9448.27000000,10380.00000000,8833.00000000,9138.55000000,1504745.51792200,2020-06-30 23:59:59.999,14277079245.33860478,16545761,722427.80543100,6859500825.04564155,0,BTCUSDT
35,2020-07-01,9138.08000000,11444.00000000,8893.03000000,11335.46000000,1507827.21494000,2020-07-31 23:59:59.999,14753365566.20898272,20753644,730493.37293200,7150041886.61254989,0,BTCUSDT
36,2020-08-01,11335.46000000,12468.00000000,10518.50000000,11649.51000000,1891193.00712800,2020-08-31 23:59:59.999,21998484649.31154974,30195218,905652.24949500,10538058910.64063469,0,BTCUSDT
37,2020-09-01,11649.51000000,12050.85000000,9825.00000000,10776.59000000,1730389.16017900,2020-09-30 23:59:59.999,18438729253.51499044,26134850,829701.08163800,8841238423.25022357,0,BTCUSDT
38,2020-10-01,10776.59000000,14100.00000000,10374.00000000,13791.00000000,1592619.95449200,2020-10-31 23:59:59.999,19264173482.06265133,22613469,784505.33579400,9492629994.52129074,0,BTCUSDT
39,2020-11-01,13791.00000000,19863.16000000,13195.05000000,19695.87000000,2707064.91116500,2020-11-30 23:59:59.999,45120124395.27153614,42912200,1321484.07280200,22052425057.03513672,0,BTCUSDT
40,2020-12-01,19695.87000000,29300.00000000,17572.33000000,28923.63000000,2495281.85621700,2020-12-31 23:59:59.999,55748654003.59771713,45342713,1228961.90094900,27479704740.96168839,0,BTCUSDT
41,2021-01-01,28923.63000000,41950.00000000,28130.00000000,33092.98000000,3435639.25794300,2021-01-31 23:59:59.999,118661604939.99255335,73656840,1693844.85607900,58501327391.79043768,0,BTCUSDT
42,2021-02-01,33092.97000000,58352.80000000,32296.16000000,45135.66000000,2518242.14851700,2021-02-28 23:59:59.999,115983202933.60136687,65653181,1252700.49440300,57668562533.49611403,0,BTCUSDT
43,2021-03-01,45134.11000000,61844.00000000,44950.53000000,58740.55000000,2098808.02743200,2021-03-31 23:59:59.999,114277364895.22881594,63155913,1037830.97562500,56539195020.27820274,0,BTCUSDT
44,2021-04-01,58739.46000000,64854.00000000,46930.00000000,57694.27000000,1993468.93800700,2021-04-30 23:59:59.999,113040658323.56617327,62061792,976226.92035700,55388518667.32670308,0,BTCUSDT
45,2021-05-01,57697.25000000,59500.00000000,30000.00000000,37253.81000000,3536245.25657300,2021-05-31 23:59:59.999,154980424224.31556711,83178232,1711558.28898700,75081608479.79643229,0,BTCUSDT
46,2021-06-01,37253.82000000,41330.00000000,28805.00000000,35045.00000000,2901775.30592300,2021-06-30 23:59:59.999,102481507278.73121394,55904176,1425168.57625600,50359134715.68894574,0,BTCUSDT
47,2021-07-01,35045.00000000,42448.00000000,29278.00000000,41461.83000000,1778463.26483700,2021-07-31 23:59:59.999,61788476064.53920266,40228107,880515.38156400,30622814623.34477210,0,BTCUSDT
48,2021-08-01,41461.84000000,50500.00000000,37332.70000000,47100.89000000,1635402.87424500,2021-08-31 23:59:59.999,73756799190.98481156,51659027,817214.78818400,36878130953.49746360,0,BTCUSDT
49,2021-09-01,47100.89000000,52920.00000000,39600.00000000,43824.10000000,1527799.51076800,2021-09-30 23:59:59.999,70114825134.22693155,41915331,747864.23748600,34352902994.42503041,0,BTCUSDT
50,2021-10-01,43820.01000000,67000.00000000,43283.03000000,61299.80000000,1565556.29262300,2021-10-31 23:59:59.999,90057212588.12694671,49815374,782372.07622800,45002009955.66511509,0,BTCUSDT
51,2021-11-01,61299.81000000,69000.00000000,53256.64000000,56950.56000000,1291900.10524800,2021-11-30 23:59:59.999,78194635615.79679843,45535890,634131.25870900,38413077824.97191693,0,BTCUSDT
52,2021-12-01,56950.56000000,59053.55000000,42000.30000000,46216.93000000,1233736.88426800,2021-12-31 23:59:59.999,60934907956.55825976,38044143,598428.91494000,29557983369.77247880,0,BTCUSDT
53,2022-01-01,46216.93000000,47990.00000000,32917.17000000,38466.90000000,1279407.46572100,2022-01-31 23:59:59.999,51219874505.32575876,34735027,630501.06261000,25234823991.35198555,0,BTCUSDT
54,2022-02-01,38466.90000000,45821.00000000,34322.28000000,43160.00000000,1253514.21906000,2022-02-28 23:59:59.999,50460034907.55031210,32130539,622108.42894000,25047022649.29553140,0,BTCUSDT
55,2022-03-01,43160.00000000,48189.84000000,37155.00000000,45510.34000000,1501363.32388000,2022-03-31 23:59:59.999,62900501178.55477700,36915473,741819.54951000,31092754978.99250880,0,BTCUSDT
56,2022-04-01,45510.35000000,47444.11000000,37578.20000000,37630.80000000,1267655.68178000,2022-04-30 23:59:59.999,52631184274.74229230,30889436,623552.94801000,25897322226.68699760,0,BTCUSDT
57,2022-05-01,37630.80000000,40023.77000000,26700.00000000,29243.92000000,1750003.47118400,2022-05-31 23:59:59.999,56076611965.80397761,34336422,849085.44314700,27216886206.22215595,0,BTCUSDT
